segment_type,segment,n,mae,rmse,median_ae,mean_error,within_2fold,within_4fold
duplicate_count_bin,6-10,35,0.5219206532219234,0.617665539176432,0.427094410629026,0.016356446474587782,0.2571428571428571,0.6571428571428571
duplicate_count_bin,1,12959,0.4389806772474394,0.5961730274178185,0.33466187499482647,0.027562677199883357,0.4581372019445945,0.7452735550582607
duplicate_count_bin,3-5,288,0.4241512260933526,0.5591810965533339,0.35087578382163065,0.07031577269926982,0.4513888888888889,0.7534722222222222
duplicate_count_bin,2,705,0.4012426772984335,0.5297323239326839,0.31693237430382126,0.07425050491211697,0.47801418439716314,0.7815602836879433
genus,Lactococcus,51,0.6633606149592121,0.8643213256069486,0.46464165017547,0.34144115074814146,0.39215686274509803,0.5490196078431373
genus,Cutibacterium,34,0.623270583757216,0.7732295590934662,0.5040347129759745,-0.12253948732544433,0.4411764705882353,0.6176470588235294
genus,Aeromonas,68,0.6023738453824893,0.761146140536543,0.511325945344427,-0.05304102342516817,0.3235294117647059,0.5882352941176471
genus,Shigella,91,0.5947786224623974,0.7919273555881242,0.4584107736533911,0.1631902114010089,0.34065934065934067,0.6593406593406593
genus,Listeria,195,0.5940965428279538,0.8070157996365185,0.4462359209945182,0.052468596730109195,0.36923076923076925,0.6461538461538462
genus,Vibrio,233,0.555979106432658,0.7642526083328026,0.4028829693310665,0.03995642184722468,0.36909871244635195,0.6437768240343348
genus,Serratia,50,0.5509839927580091,0.6751468920342371,0.5173428462126093,-0.23519903365057232,0.34,0.58
genus,Priestia,69,0.5400576452609102,0.684204925687647,0.4505262309462579,0.07285922190631074,0.391304347826087,0.6231884057971014
genus,Unknown,39,0.5281559337693421,0.6567593282548377,0.506886214287501,0.02458300606417609,0.3076923076923077,0.6923076923076923
genus,Mycobacterium,48,0.5155774209524112,0.7005055762288327,0.3244356486454697,0.07468359374329028,0.4791666666666667,0.625
genus,Micrococcus,215,0.49503757210759713,0.6474075386050799,0.39792472380587274,0.03362133415531289,0.4232558139534884,0.6744186046511628
genus,Streptococcus,341,0.4746807944556113,0.6273222056520267,0.37749115141280176,0.0681022379314363,0.41348973607038125,0.7067448680351907
genus,Enterococcus,633,0.4701328373048397,0.6754273139615231,0.3512914174132189,0.05707362508187104,0.4218009478672986,0.7251184834123223
genus,Corynebacterium,50,0.4699881274514429,0.588496260189687,0.4810280582895606,0.04873581601390756,0.4,0.64
genus,Enterobacter,109,0.4608288663120033,0.6077905075099342,0.29147245988361514,0.005044897039103006,0.5137614678899083,0.6697247706422018
genus,Yersinia,38,0.44319682364381474,0.6699511339559627,0.3202205488597566,0.18697345956028608,0.4473684210526316,0.8157894736842105
genus,Bacillus,767,0.4412779607718438,0.58098832535483,0.34441943892998406,0.02099815340165243,0.44198174706649285,0.7327249022164276
genus,Salmonella,747,0.43614285955531784,0.5797627805330803,0.33301034671147756,-0.01601198965866345,0.45515394912985274,0.7657295850066934
genus,Staphylococcus,3223,0.42671747386016257,0.5607462180633885,0.3384315540126519,0.021610331666924283,0.4564070741545144,0.7505429723859758
genus,Acinetobacter,598,0.4177156523325113,0.5335949913921549,0.3475437069332061,0.05010042896205458,0.4280936454849498,0.7625418060200669
genus,Pseudomonas,1907,0.41121310378563947,0.5464943710670565,0.32013184859071453,0.0375204378499926,0.4740429994756162,0.7656004195070791
