segment_type,segment,n,mae,rmse,median_ae,mean_error,within_2fold,within_4fold
duplicate_count_bin,1,12959,0.4151676065603074,0.5753600263104911,0.3011830953447021,0.01649149220966997,0.499421251639787,0.7710471486997453
duplicate_count_bin,6-10,35,0.4105774408766927,0.5304666329876032,0.357147448665853,0.03759142951564231,0.4,0.8
duplicate_count_bin,3-5,288,0.3819916808127194,0.5121831977062812,0.27912804921913015,0.026048822641121332,0.5208333333333334,0.7881944444444444
duplicate_count_bin,2,705,0.37097040005327464,0.491104357927837,0.2847474836314192,0.04365216234974501,0.5205673758865248,0.8056737588652483
genus,Lactococcus,51,0.9327191798411706,1.2595555395208393,0.4804144394126304,0.7039687937064179,0.27450980392156865,0.5294117647058824
genus,Cutibacterium,34,0.7248677389782321,0.8740678803659909,0.7041463323697289,0.046729919002956415,0.2647058823529412,0.47058823529411764
genus,Shigella,91,0.5540127265713709,0.7815023142663983,0.3929648139946422,0.1129742228913189,0.42857142857142855,0.7032967032967034
genus,Priestia,69,0.5520640032741971,0.6884127561117198,0.4827111428430393,-0.019505648572738874,0.34782608695652173,0.6231884057971014
genus,Unknown,39,0.5188172914885611,0.6522786526907481,0.4422993219329636,0.03427341673514298,0.3076923076923077,0.6923076923076923
genus,Vibrio,233,0.5085186458086606,0.7381419705969355,0.30867863834279596,-0.0025918167973308943,0.47639484978540775,0.7296137339055794
genus,Serratia,50,0.5082602580179746,0.6789938195963919,0.32138843983557547,-0.28457933191586254,0.48,0.68
genus,Listeria,195,0.500988450840755,0.6724759171705432,0.3800793008575784,0.07561017422252002,0.4205128205128205,0.6871794871794872
genus,Enterobacter,109,0.485988237625976,0.6413437712258061,0.37225862243155916,0.030137124519430587,0.3761467889908257,0.7247706422018348
genus,Mycobacterium,48,0.4684438767939261,0.6901238507523915,0.3006571650549731,0.10510646018869824,0.5,0.6875
genus,Aeromonas,68,0.4638559784537823,0.6494752592348139,0.35052188311065624,-0.04547735971435638,0.4411764705882353,0.7352941176470589
genus,Micrococcus,215,0.44490343685613304,0.5909994690710201,0.3495853341223958,-0.029625349772363547,0.4604651162790698,0.7255813953488373
genus,Enterococcus,633,0.4321568493195368,0.6229111896073422,0.3212377106296975,0.039098527948759114,0.4660347551342812,0.764612954186414
genus,Streptococcus,341,0.4216896399389525,0.5725788295280302,0.3140023235355105,0.019321684690544388,0.4868035190615836,0.750733137829912
genus,Bacillus,767,0.4189197315646042,0.5780006746689029,0.3003229425544873,0.012824374928429237,0.5019556714471969,0.758800521512386
genus,Corynebacterium,50,0.412584600499249,0.5327319629034869,0.285057237951883,-0.007160701207219706,0.52,0.76
genus,Staphylococcus,3223,0.4082692360115172,0.553247967701376,0.3046172136866876,-0.0013647356420860473,0.49426000620539867,0.7818802358051505
genus,Salmonella,747,0.4053108307263536,0.5441367395796083,0.29859322526427645,0.01166651749386997,0.5046854082998661,0.7684069611780455
genus,Yersinia,38,0.4014860272680527,0.6166938978827471,0.22849963887564106,0.10691149230003297,0.6052631578947368,0.7631578947368421
genus,Pseudomonas,1907,0.39298010692923085,0.5298650171480827,0.28923252293588136,0.03767810883424762,0.5149449396958574,0.7881489250131096
genus,Acinetobacter,598,0.3926291868744535,0.523928144301777,0.3116170524567099,0.07963280482608326,0.4882943143812709,0.7792642140468228
genus,Escherichia,2690,0.3909575801389056,0.5320876268999954,0.29023891786185524,0.006059734723823704,0.512267657992565,0.7910780669144981
genus,Xanthomonas,56,0.3863231984854769,0.5183351540856009,0.27438205180302616,-0.0905947925775654,0.5535714285714286,0.7857142857142857
genus,Klebsiella,736,0.3787923117392196,0.5124886108405219,0.2771346046104718,0.007417837274545215,0.5366847826086957,0.7758152173913043
genus,Proteus,82,0.3557193100916612,0.5045756321013798,0.28846664431872704,0.053367510239709544,0.5365853658536586,0.8292682926829268
genus,Stenotrophomonas,48,0.33259046444744156,0.44025264783128476,0.255731698858929,0.007782340347273764,0.5833333333333334,0.8333333333333334
genus,Cronobacter,35,0.2995008257662778,0.3782024467825725,0.22200782679272768,-0.25090500372755087,0.6285714285714286,0.8571428571428571
genus,Lacticaseibacillus,86,0.19227186247363212,0.26039007833609845,0.15357608744889073,-0.0696815348437232,0.7906976744186046,0.9767441860465116
genus,Bacteroides,84,0.16557094543564777,0.25430239233269747,0.09370054179083898,-0.00598070967543002,0.8095238095238095,0.9404761904761905
gram_status,gram_positive,6047,0.4324203704746201,0.6022109673460775,0.3140023235355105,0.018500916986488123,0.4832148172647594,0.760046303952373
gram_status,gram_negative,7948,0.396818793744034,0.5441696566006113,0.29000365282405893,0.01774210046592746,0.5139657775541017,0.7833417211877202
length_bin,>40,799,0.6608212875047105,0.90640380146652,0.46455398243352775,0.17593957779088623,0.36795994993742176,0.5919899874843555
length_bin,21-40,4260,0.4325098052076639,0.5927853798704773,0.31931555845264986,0.03941607624706173,0.47582159624413145,0.7605633802816901
length_bin,11-20,6845,0.38348675692651935,0.5106705491538792,0.2913638273990292,0.007933290278867262,0.5117604090577064,0.7850986121256391
length_bin,<=10,2091,0.36982636196780166,0.539282906189793,0.261151359797539,-0.052559693881282774,0.5657580105212817,0.8297465327594452
log_mic_bin,log_mic_q_-4.53_0.72,3499,0.5498877548356919,0.7473268550569261,0.4011999896744103,0.5137949727929844,0.3869677050585882,0.6599028293798228
log_mic_bin,log_mic_q_1.88_4.27,3499,0.45445643572612726,0.6231485204625571,0.3208763024389534,-0.4191210353340537,0.4772792226350386,0.7244927122034867
log_mic_bin,log_mic_q_1.29_1.88,3496,0.3239456031339459,0.4253566052613559,0.25723544141326105,-0.12801073937564164,0.5612128146453089,0.8555491990846682
log_mic_bin,log_mic_q_0.72_1.29,3501,0.3204934594703029,0.41437373468297645,0.25147799212118715,0.10544150163065684,0.5772636389602971,0.8531848043416167
overall,all,13995,0.41220162579046876,0.569973948295768,0.3003552913338693,0.01806997209864131,0.5006788138620936,0.773276170060736
